Tournament;Date;Series;Surface;Round;Winner;Loser;WRank;LRank;WPts;LPts;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;B365W;B365L;EXW;EXL;LBW;LBL;PSW;PSL;SJW;SJL
Brisbane International;04/01/2010;ATP250;Hard;1st Round;Gasquet R.;Nieminen J.;52;88;850;568;6;3;4;6;6;4;;;;;2;1;1,44;2,62;1,48;2,53;1,533;2,375;1,526;2,74;1,5;2,5
Brisbane International;04/01/2010;ATP250;Hard;1st Round;Odesnik W.;Clement A.;105;63;521;667;6;4;7;6;;;;;;;2;0;2,25;1,57;2,2;1,65;2,25;1,571;2,14;1,813;2,25;1,571
Brisbane International;04/01/2010;ATP250;Hard;1st Round;Gicquel M.;Petzschner P.;58;80;744;587;6;3;6;1;;;;;;;2;0;1,61;2,2;1,65;2,2;1,667;2,1;1,676;2,36;1,615;2,2
Brisbane International;04/01/2010;ATP250;Hard;1st Round;Falla A.;Chardy J.;81;32;587;1102;6;4;6;4;;;;;;;2;0;2,62;1,44;2,58;1,46;2,5;1,5;2,58;1,581;2,5;1,5
Brisbane International;04/01/2010;ATP250;Hard;1st Round;Levy H.;Llodra M.;119;67;461;649;6;2;6;0;;;;;;;2;0;3;1,36;2,6;1,46;2,625;1,444;2,17;1,787;3;1,333
Brisbane International;04/01/2010;ATP250;Hard;1st Round;Bellucci T.;Chela J.I.;36;73;1021;611;6;3;3;6;6;1;;;;;2;1;1,61;2,2;1,65;2,15;1,615;2,2;1,758;2,22;1,727;2
Brisbane International;04/01/2010;ATP250;Hard;1st Round;Stepanek R.;Millman J.;12;306;2625;137;6;4;6;0;;;;;;;2;0;1,04;10;1,04;9,25;1,04;9;1,087;9,95;1,03;10
Brisbane International;04/01/2010;ATP250;Hard;1st Round;Roddick A.;Luczak P.;7;77;4410;598;7;6;6;2;;;;;;;2;0;1,08;7;1,13;5,5;1,111;6;1,121;7,83;1,125;5,5
Brisbane International;05/01/2010;ATP250;Hard;1st Round;Dolgopolov O.;Tomic B.;131;286;413;150;6;4;6;4;;;;;;;2;0;1,72;2;1,7;2,1;1,833;1,833;1,758;2,22;1,727;2
Brisbane International;05/01/2010;ATP250;Hard;1st Round;Berdych T.;Lindahl N.;20;251;1655;179;6;2;6;4;;;;;;;2;0;1,12;5,5;1,18;4,45;1,16;4,5;1,163;6,26;1,17;4,5
Brisbane International;05/01/2010;ATP250;Hard;1st Round;Baghdatis M.;Fish M.;42;55;945;790;7;5;7;5;;;;;;;2;0;1,36;3;1,37;3;1,4;2,75;1,377;3,41;1,4;2,75
Brisbane International;05/01/2010;ATP250;Hard;1st Round;Ball C.;Zverev M.;134;78;400;590;7;5;6;1;;;;;;;2;0;2,1;1,66;2,05;1,75;2;1,727;1,917;2,01;2,25;1,571
Brisbane International;05/01/2010;ATP250;Hard;1st Round;Blake J.;Querrey S.;44;25;935;1320;4;6;6;3;6;4;;;;;2;1;1,72;2;1,65;2,15;1,615;2,2;1,769;2,2;1,667;2,1
Brisbane International;05/01/2010;ATP250;Hard;1st Round;Ebden M.;Melzer J.;285;28;151;1260;7;5;6;1;;;;;;;2;0;5;1,14;4,92;1,15;1,14;5;5,57;1,19;1,17;4,5
Brisbane International;05/01/2010;ATP250;Hard;1st Round;Serra F.;Reister J.;65;173;665;284;6;7;7;6;7;5;;;;;2;1;1,44;2,62;1,42;2,75;1,44;2,62;1,483;2,9;1,44;2,63
Brisbane International;05/01/2010;ATP250;Hard;1st Round;Monfils G.;Dent T.;13;76;2610;602;7;6;6;7;6;2;;;;;2;1;1,22;4;1,25;3,75;1,286;3,5;1,294;4,05;1,25;3,5
Brisbane International;06/01/2010;ATP250;Hard;2nd Round;Blake J.;Gicquel M.;44;58;935;744;6;3;3;6;7;6;;;;;2;1;1,36;3;1,35;3,1;1,3;3,4;1,424;3,15;1,333;3
Brisbane International;06/01/2010;ATP250;Hard;2nd Round;Stepanek R.;Dolgopolov O.;12;131;2625;413;5;7;7;6;6;2;;;;;2;1;1,12;5,5;1,13;5,5;1,12;5,5;1,159;6,39;1,125;5,5
Brisbane International;06/01/2010;ATP250;Hard;2nd Round;Odesnik W.;Falla A.;105;81;521;587;6;7;6;2;6;1;;;;;2;1;2,25;1,57;2,1;1,7;2,1;1,667;2,4;1,658;2;1,727
Brisbane International;06/01/2010;ATP250;Hard;2nd Round;Roddick A.;Ball C.;7;134;4410;400;7;6;6;3;;;;;;;2;0;1,06;8;1,07;7,19;1,083;7;1,125;7,65;1,063;7,5
